Østfold,	9	,312152
Akershus,	20	,728803
Oslo,	20	,717710
Hedemark,	7	,202048
Oppland,	6	,174256
Buskerud,	8	,269819
Vestfold,	7	,256432
Telemark,	6	,177093
Aust-Agder,	4	,122968
Vest-Agder,	6	,196882
Rogaland,	14	,499417
Hordaland,	16	,541875
Sogn og Fjordane,	4	,109424
Møre og Romsdal,	8	,270624
Sør-Trøndelag,	10	,347516
Nord-trøndelag,	5	,135440
Nordland,	9	,243081
Troms,	6	,169610
Finnmark,	4	,75053





